make,model
Toyota,GR86
Toyota,GR Corolla
Toyota,GR Supra
Toyota,Prius
Toyota,Prius Plug-in Hybrid
Toyota,Corolla Hatchback
Toyota,Corolla
Toyota,Corolla Hybrid
Toyota,Camry Hybrid
Toyota,Crown
Toyota,bZ
Toyota,Corolla Cross
Toyota,Corolla Cross Hybrid
Toyota,RAV4
Toyota,RAV4 Hybrid
Toyota,RAV4 Plug-in Hybrid
Toyota,Crown Signia
Toyota,Highlander
Toyota,Highlander Hybrid
Toyota,Grand Highlander
Toyota,Grand Highlander Hybrid
Toyota,Sienna
Toyota,4Runner
Toyota,4Runner Hybrid
Toyota,Land Cruiser
Toyota,Sequoia
Toyota,Tacoma
Toyota,Tundra 4X2
Toyota,Tundra 4X4
Toyota,Tundra Hybrid
