make,model,url
Toyota,GR86,https://www.toyota.ca/en/build-price/gr86/
Toyota,GR Corolla,https://www.toyota.ca/en/build-price/gr-corolla/
Toyota,GR Supra,https://www.toyota.ca/en/build-price/supra/
Toyota,Prius,https://www.toyota.ca/en/build-price/prius/
Toyota,Prius Plug-in Hybrid,https://www.toyota.ca/en/build-price/prius-plug-in-hybrid/
Toyota,Corolla Hatchback,https://www.toyota.ca/en/build-price/corolla-hatchback/
Toyota,Corolla,https://www.toyota.ca/en/build-price/corolla/
Toyota,Camry,https://www.toyota.ca/en/build-price/camry/
Toyota,Crown,https://www.toyota.ca/en/build-price/crown/
Toyota,bZ,https://www.toyota.ca/en/build-price/bz/
Toyota,Corolla Cross,https://www.toyota.ca/en/build-price/corolla-cross/
Toyota,RAV4,https://www.toyota.ca/en/build-price/rav4/
Toyota,RAV4 Plug-in Hybrid,https://www.toyota.ca/en/build-price/rav4-plug-in-hybrid/
Toyota,Crown Signia,https://www.toyota.ca/en/build-price/crown-signia/
Toyota,Highlander,https://www.toyota.ca/en/build-price/highlander/
Toyota,Grand Highlander,https://www.toyota.ca/en/build-price/grand-highlander/
Toyota,Sienna,https://www.toyota.ca/en/build-price/sienna/
Toyota,4Runner,https://www.toyota.ca/en/build-price/4runner/
Toyota,Land Cruiser,https://www.toyota.ca/en/build-price/land-cruiser/
Toyota,Sequoia,https://www.toyota.ca/en/build-price/sequoia/
Toyota,Tacoma,https://www.toyota.ca/en/build-price/tacoma/
Toyota,Tundra,https://www.toyota.ca/en/build-price/tundra/
